fecha,hotel,year,canal,ocup_total,shap_value,family
2023-05-26,HOTEL_1,2023,is_weekend,0.48936170212765956,0.0003107888,calendario
2023-05-27,HOTEL_1,2023,is_weekend,0.6063829787234043,-0.0015243912,calendario
2023-05-28,HOTEL_1,2023,is_weekend,0.4148936170212766,-0.0024211889,calendario
2023-05-29,HOTEL_1,2023,is_weekend,0.425531914893617,0.00014939418,calendario
2023-05-30,HOTEL_1,2023,is_weekend,0.35106382978723405,-0.001183324,calendario
2023-05-31,HOTEL_1,2023,is_weekend,0.5319148936170213,0.002051372,calendario
2023-06-01,HOTEL_1,2023,is_weekend,0.4148936170212766,0.0021980363,calendario
2023-06-02,HOTEL_1,2023,is_weekend,0.425531914893617,0.00016062231,calendario
2023-06-03,HOTEL_1,2023,is_weekend,0.40425531914893614,-0.00060483307,calendario
2023-06-04,HOTEL_1,2023,is_weekend,0.46808510638297873,-0.0015129521,calendario
2023-06-05,HOTEL_1,2023,is_weekend,0.46808510638297873,0.00065791735,calendario
2023-06-06,HOTEL_1,2023,is_weekend,0.5,0.00088344427,calendario
2023-06-07,HOTEL_1,2023,is_weekend,0.6063829787234043,0.0027409862,calendario
2023-06-08,HOTEL_1,2023,is_weekend,0.5106382978723404,0.0009965847,calendario
2023-06-09,HOTEL_1,2023,is_weekend,0.5531914893617021,0.0019429518,calendario
2023-06-10,HOTEL_1,2023,is_weekend,0.40425531914893614,-0.0020828529,calendario
2023-06-11,HOTEL_1,2023,is_weekend,0.3829787234042553,-0.0009135472,calendario
2023-06-12,HOTEL_1,2023,is_weekend,0.3723404255319149,0.00037696393,calendario
2023-06-13,HOTEL_1,2023,is_weekend,0.43617021276595747,0.00059511734,calendario
2023-06-14,HOTEL_1,2023,is_weekend,0.43617021276595747,0.00038304363,calendario
2023-06-15,HOTEL_1,2023,is_weekend,0.425531914893617,0.00033555977,calendario
2023-06-16,HOTEL_1,2023,is_weekend,0.46808510638297873,0.0004698486,calendario
2023-06-17,HOTEL_1,2023,is_weekend,0.3191489361702128,-0.0011326055,calendario
2023-06-18,HOTEL_1,2023,is_weekend,0.1702127659574468,-0.001840857,calendario
2023-06-19,HOTEL_1,2023,is_weekend,0.2553191489361702,0.0007412621,calendario
2023-06-20,HOTEL_1,2023,is_weekend,0.3191489361702128,0.0004842105,calendario
2023-06-21,HOTEL_1,2023,is_weekend,0.2872340425531915,0.0005902006,calendario
2023-06-22,HOTEL_1,2023,is_weekend,0.30851063829787234,0.0004461503,calendario
